method,watershed,lat,lon,length,area,time
wma,0,40.138323,-105.869144,1.8500000000000085,0.08437499999999787,0.564683
pysheds,0,40.138323,-105.869144,1.8666666666666174,0.08444444444444418,0.946767
wma,1,39.554707,-107.337388,8.86666666666656,1.6352083333333307,0.642512
pysheds,1,39.554707,-107.337388,8.866666666666788,1.6352083333333267,0.898482
wma,2,39.062747,-108.579124,16.316666666666606,4.553819444444446,0.585322
pysheds,2,39.062747,-108.579124,16.316666666666663,4.553819444444436,0.907122
wma,3,38.18706,-109.895119,33.616666666666376,19.401527777777773,0.668063
pysheds,3,38.18706,-109.895119,33.616666666666674,19.40152777777778,0.968462
wma,4,36.935287,-111.488197,43.41666666666649,29.088888888888924,0.765793
pysheds,4,36.935287,-111.488197,43.43333333333315,29.088958333333238,1.03863
pysheds,5,36.012875,-114.73716,72.19999999999995,43.79333333333364,1.042075
wma,6,31.921818,-114.956413,88.04999999999805,63.41750000000006,1.355483
pysheds,6,31.921818,-114.956413,88.0666666666668,63.417569444444425,1.134097
wma,7,29.946071,-90.01207,199.7166666665995,341.41520833332925,4.97222
pysheds,7,29.946071,-90.01207,199.8166666666438,341.4155555555534,1.921162
